"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","IL","Illinois","Cook","17031","17031823302","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence","29.2",,,"26.1","32.1","5,739","4,555","POINT (-87.7233375 41.660773)","17031823302","SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support"
"2023","IL","Illinois","Cook","17031","17031802506","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","15.2",,,"13.4","16.9","2,285","1,809","POINT (-87.8977629 42.1299534)","17031802506","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031802505","BRFSS","Disability","Any disability among adults","%","Crude prevalence","25.9",,,"23.0","29.0","6,723","5,233","POINT (-87.9126363 42.122275)","17031802505","DISABLT","DISABILITY","CrdPrv","Any Disability"
"2023","IL","Illinois","Cook","17031","17031812100","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","28.6",,,"25.4","31.8","4,763","3,413","POINT (-87.7798547 41.9025047)","17031812100","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031720200","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","10.8",,,"9.6","12.0","4,131","3,257","POINT (-87.6660545 41.7130417)","17031720200","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","IL","Illinois","Cook","17031","17031805001","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Crude prevalence","13.3",,,"11.3","15.6","4,985","3,819","POINT (-87.9512516 42.0564377)","17031805001","HLTHSTAT","GHLTH","CrdPrv","General Health"
"2023","IL","Illinois","Cook","17031","17031814200","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence","13.0",,,"11.1","15.2","7,671","5,414","POINT (-87.7456153 41.8356494)","17031814200","DISABLT","MOBILITY","CrdPrv","Mobility Disability"
"2023","IL","Illinois","Cook","17031","17031808500","BRFSS","Health-Related Social Needs","Lack of social and emotional support among adults","%","Crude prevalence","24.0",,,"21.1","27.1","4,239","3,307","POINT (-87.7735988 42.0472355)","17031808500","SOCLNEED","EMOTIONSPT","CrdPrv","Lack of Social/Emotional Support"
"2022","IL","Illinois","Cook","17031","17031804404","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Crude prevalence","36.1",,,"32.6","39.7","5,147","3,857","POINT (-88.2441212 42.0422885)","17031804404","RISKBEH","SLEEP","CrdPrv","Short Sleep Duration"
"2023","IL","Illinois","Cook","17031","17031811200","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","3.1",,,"2.8","3.5","5,401","4,239","POINT (-87.8453739 41.9222261)","17031811200","HLTHOUT","STROKE","CrdPrv","Stroke"
"2023","IL","Illinois","Cook","17031","17031770300","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence","10.5",,,"8.8","12.4","7,234","5,925","POINT (-88.0063939 42.0411009)","17031770300","SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity"
